"","Quantity","UnitPrice","month","week","time","Sales"
"125",6,2.95,2,3,10,17.7
"126",3,2.95,6,3,12,8.85
"127",400,1.04,10,3,10,416
"128",8,8.5,11,5,13,68
"129",10,0.29,11,2,12,2.9
"130",2,1.69,3,1,13,3.38
"131",2,4.15,8,4,12,8.3
"132",6,2.1,1,1,9,12.6
"133",8,1.63,11,3,15,13.04
"134",4,1.25,8,3,14,5
"135",6,0.39,12,3,14,2.34
"136",4,1.65,9,5,15,6.6
"137",24,0.42,7,1,12,10.08
"138",100,0.72,11,2,9,72
"139",9,0.83,6,3,15,7.47
"140",4,1.69,4,1,14,6.76
"141",2,6.75,12,7,11,13.5
"142",1,1.65,8,4,14,1.65
"143",2,1.65,9,2,14,3.3
"144",2,0.42,11,4,11,0.84
"145",2,1.25,11,2,12,2.5
"146",1,2.46,4,4,19,2.46
"147",4,2.95,12,4,15,11.8
"148",3,1.65,12,4,18,4.95
"149",6,1.25,10,7,14,7.5
"150",12,0.42,6,5,15,5.04
"151",7,4.21,12,2,18,29.47
"152",1,2.95,10,3,16,2.95
"153",2,0.83,11,5,13,1.66
"154",2,4.96,3,5,12,9.92
"155",24,2.55,7,1,14,61.2
"156",3,2.95,5,3,11,8.85
"157",12,0.42,12,4,11,5.04
"158",4,3.95,12,4,11,15.8
"159",16,1.04,7,4,12,16.64
"160",2,2.1,11,5,13,4.2
"161",10,8.5,5,7,11,85
"162",18,2.95,1,2,13,53.1
"163",1,2.1,4,1,12,2.1
"164",1,1.25,8,2,17,1.25
"165",6,0.85,2,1,15,5.1
"166",-1,2.55,12,2,12,-2.55
"167",1,11.87,12,5,16,11.87
"168",15,0.06,12,4,12,0.9
"169",1,1.65,12,4,16,1.65
"170",1,940.87,12,1,10,940.87
"171",1,4.13,1,2,17,4.13
"172",1,2.46,7,1,15,2.46
"173",1,4.95,10,1,13,4.95
"174",6,2.55,10,1,13,15.3
"175",1,2.1,11,3,17,2.1
"176",6,4.95,7,3,13,29.7
"177",3,0.55,9,4,15,1.65
"178",2,2.95,5,7,12,5.9
"179",12,0.85,8,2,9,10.2
"180",3,5.75,5,7,15,17.25
"181",3,5.95,4,1,12,17.85
"182",24,1.65,3,1,13,39.6
"183",3,1.25,10,5,12,3.75
"184",16,0.43,12,2,15,6.88
"185",10,1.65,11,4,16,16.5
"186",12,1.65,11,4,13,19.8
"187",1,2.95,11,7,11,2.95
"188",1,2.46,4,5,10,2.46
"189",10,1.65,8,5,14,16.5
"190",4,2.95,5,1,12,11.8
"191",1,3.29,3,2,16,3.29
"192",12,0.39,11,7,14,4.68
"193",24,0.85,8,4,8,20.4
"194",1,5.79,9,5,16,5.79
"195",6,2.55,4,1,8,15.3
"196",12,1.25,10,2,14,15
"197",2,0.85,1,1,9,1.7
"198",12,0.85,1,2,14,10.2
"199",1,1.25,7,1,16,1.25
"200",3,4.95,5,4,14,14.85
"201",7,0.55,9,4,16,3.85
"202",12,1.25,10,7,13,15
"203",2,5.75,3,3,11,11.5
"204",1,15,8,5,14,15
"205",6,2.55,3,2,10,15.3
"206",3,1.65,6,7,15,4.95
"207",3,4.95,3,2,13,14.85
"208",30,1.65,7,7,13,49.5
"209",25,0.42,8,1,12,10.5
"210",1,4.25,2,4,13,4.25
"211",3,3.75,1,3,15,11.25
"212",72,0.36,2,2,10,25.92
"213",12,2.55,5,7,13,30.6
"214",1,0.83,5,3,16,0.83
"215",6,4.15,11,3,13,24.9
"216",12,0.42,6,7,11,5.04
"217",4,7.95,12,5,15,31.8
"218",10,1.65,5,1,15,16.5
"219",1,1.63,10,1,13,1.63
"220",2,1.25,11,5,13,2.5
"221",12,1.65,6,1,9,19.8
"222",1,4.13,6,4,11,4.13
"223",3,2.08,7,2,11,6.24
"224",24,1.25,5,5,11,30
"225",1,3.36,12,3,14,3.36
"226",2,3.29,11,3,15,6.58
"227",10,2.08,4,4,11,20.8
"228",50,4.25,6,1,10,212.5
"229",240,0.29,3,1,10,69.6
"230",2,0.55,11,7,16,1.1
"231",3,1.25,11,2,12,3.75
"232",15,3.29,12,1,17,49.35
"233",1,0.85,7,1,16,0.85
"234",6,2.1,3,5,10,12.6
"235",1,0.42,10,2,18,0.42
"236",2,7.9,7,2,11,15.8
"237",2,2.95,3,2,13,5.9
"238",2,4.13,10,1,16,8.26
"239",1,4.95,9,1,12,4.95
"240",12,1.25,9,1,12,15
"241",4,4.95,12,2,10,19.8
"242",1,6.95,3,4,14,6.95
"243",6,1.45,11,3,14,8.7
"244",24,0.42,12,2,12,10.08
"245",3,0.85,12,1,16,2.55
"246",4,1.69,10,7,11,6.76
"247",12,6.95,12,4,15,83.4
"248",24,0.55,6,2,13,13.2
"249",1,1.25,12,4,9,1.25
"250",3,2.95,10,2,15,8.85
"251",1,2.95,4,4,12,2.95
"252",12,1.65,1,3,12,19.8
"253",5,1.45,9,2,13,7.25
"254",8,1.25,11,4,13,10
"255",1,7.5,9,7,16,7.5
"256",2,15,10,2,13,30
"257",10,2.08,5,2,12,20.8
"258",17,1.25,6,3,15,21.25
"259",50,1.45,9,2,12,72.5
"260",20,0.82,8,2,10,16.4
"261",10,1.65,3,3,13,16.5
"262",3,2.46,5,2,15,7.38
"263",10,1.95,3,1,13,19.5
"264",1,3.75,9,7,16,3.75
"265",1,9.95,11,3,13,9.95
"266",1,0.29,12,4,15,0.29
"267",32,2.55,12,7,12,81.6
"268",10,1.65,1,4,14,16.5
"269",6,2.1,4,4,13,12.6
"270",1,8.29,10,1,17,8.29
"271",3,3.95,11,3,12,11.85
"272",1,3.29,3,5,16,3.29
"273",1,10.79,9,5,14,10.79
"274",2,7.95,12,5,11,15.9
"275",2,8.47,1,1,14,16.94
"276",3,1.65,5,4,13,4.95
"277",1,705.45,7,1,16,705.45
"278",1,2.55,5,3,12,2.55
"279",2,8.5,5,3,12,17
"280",12,1.65,9,1,11,19.8
"281",600,0.16,2,2,15,96
"282",6,2.08,11,1,12,12.48
"283",2,3.25,11,7,12,6.5
"284",12,0.85,5,3,12,10.2
"285",36,0.29,10,1,13,10.44
"286",16,1.69,9,3,15,27.04
"287",1,4.25,3,2,12,4.25
"288",1,10.79,12,4,16,10.79
"289",5,2.95,9,3,15,14.75
"290",2,1.25,11,3,15,2.5
"291",1,2.51,12,3,14,2.51
"292",8,1.69,12,1,16,13.52
"293",6,0.85,3,3,10,5.1
"294",1,3.75,10,2,12,3.75
"295",10,1.65,7,5,11,16.5
"296",12,1.65,9,5,9,19.8
"297",16,2.08,9,2,12,33.28
"298",1,1.63,8,2,12,1.63
"299",1,3.29,4,4,19,3.29
"300",4,3.75,4,1,8,15
"301",2,1.65,9,2,13,3.3
"302",10,1.25,10,2,15,12.5
"303",2,4.95,9,4,12,9.9
"304",2,12.75,11,7,11,25.5
"305",24,2.55,12,1,14,61.2
"306",4,4.15,6,7,11,16.6
"307",3,1.25,1,5,15,3.75
"308",2,0.83,12,4,14,1.66
"309",1,4.13,6,4,15,4.13
"310",1,4.96,4,4,16,4.96
"311",12,9.95,8,1,14,119.4
"312",2,2.1,9,7,14,4.2
"313",1,2.55,4,1,13,2.55
"314",8,1.95,11,4,13,15.6
"315",4,0.85,7,1,12,3.4
"316",4,0.42,9,5,17,1.68
"317",1,0.42,6,1,11,0.42
"318",10,2.08,8,7,12,20.8
"319",12,0.85,5,5,14,10.2
"320",1,1.95,8,4,12,1.95
"321",1,8.95,1,4,14,8.95
"322",5,16.63,12,5,10,83.15
"323",3,5.95,10,1,13,17.85
"324",2,9.95,3,7,11,19.9
"325",2,0.42,12,1,12,0.84
"326",3,0.85,5,1,15,2.55
"327",10,2.08,7,7,10,20.8
"328",2,4.96,6,3,10,9.92
"329",8,1.65,7,7,12,13.2
"330",1,5.79,11,5,15,5.79
"331",24,0.83,9,1,9,19.92
"332",2,1.25,6,3,15,2.5
"333",10,1.25,10,5,12,12.5
"334",2,0.85,12,1,11,1.7
"335",1,2.46,2,3,12,2.46
"336",1,0.85,12,4,14,0.85
"337",2,3.29,7,1,17,6.58
"338",48,2.55,11,5,11,122.4
"339",12,1.65,2,3,11,19.8
"340",4,4.13,8,2,10,16.52
"341",2,5.79,11,2,16,11.58
"342",1,2.46,11,3,15,2.46
"343",12,2.55,9,4,16,30.6
"344",3,5.63,2,5,12,16.89
"345",6,2.55,4,4,12,15.3
"346",4,3.75,3,4,15,15
"347",1,2.46,9,2,18,2.46
"348",1,1.25,2,2,14,1.25
"349",2,6.95,1,5,12,13.9
"350",2,1.63,10,3,15,3.26
"351",1,12.46,11,2,16,12.46
"352",4,4.25,12,1,12,17
"353",1,2.55,12,4,12,2.55
"354",1,2.46,2,2,14,2.46
"355",24,0.83,11,4,13,19.92
"356",8,3.75,4,5,9,30
"357",2,0.85,8,4,12,1.7
"358",12,1.25,11,3,8,15
"359",12,0.85,8,3,12,10.2
"360",1,1.65,4,1,16,1.65
"361",1,13.13,12,7,14,13.13
"362",1,1.63,12,5,16,1.63
"363",8,1.25,12,7,12,10
"364",1,0.79,1,1,17,0.79
"365",1,2.08,4,4,12,2.08
"366",24,1.25,7,1,17,30
"367",16,1.85,10,2,12,29.6
"368",2,1.95,1,7,14,3.9
"369",4,2.95,11,1,12,11.8
"370",6,2.95,3,3,14,17.7
"371",10,2.95,12,5,14,29.5
"372",12,1.65,4,7,11,19.8
"373",3,5.95,9,5,14,17.85
"374",24,8.5,1,3,12,204
"375",2,3.29,12,4,9,6.58
"376",25,0.42,8,1,10,10.5
"377",1,3.29,8,3,16,3.29
"378",1,11.63,8,4,10,11.63
"379",200,3.75,10,7,15,750
"380",1,0.83,11,5,17,0.83
"381",9,8.47,12,4,13,76.23
"382",1,4.95,8,3,17,4.95
"383",1,0.42,11,5,15,0.42
"384",4,0.83,1,5,17,3.32
"385",7,1.65,7,7,11,11.55
"386",4,1.25,8,3,14,5
"387",1,2.55,7,7,13,2.55
"388",4,4.95,9,5,13,19.8
"389",24,0.65,1,2,10,15.6
"390",24,0.42,12,3,10,10.08
"391",1,5.79,12,5,10,5.79
"392",2,6.25,9,5,14,12.5
"393",2,0.42,3,2,15,0.84
"394",6,4.95,11,5,14,29.7
"395",10,1.65,12,3,16,16.5
"396",12,2.1,11,3,13,25.2
"397",6,0.85,12,7,14,5.1
"398",4,4.15,10,1,13,16.6
"399",1,4.13,6,2,17,4.13
"400",2,4.95,9,1,13,9.9
"401",20,0.85,7,1,12,17
"402",2,1.65,10,1,17,3.3
"403",6,2.55,2,1,11,15.3
"404",5,2.95,12,7,13,14.75
"405",2,7.95,7,2,13,15.9
"406",1,4.13,3,4,18,4.13
"407",5,0.55,11,5,10,2.75
"408",4,1.65,11,3,13,6.6
"409",2,4.95,8,4,12,9.9
"410",36,1.25,9,3,10,45
"411",12,1.25,11,7,10,15
"412",3,1.95,12,5,10,5.85
"413",6,5.95,8,2,13,35.7
"414",1,4.25,12,3,15,4.25
"415",1,0.83,2,2,16,0.83
"416",24,2.55,1,3,15,61.2
"417",6,3.35,4,5,8,20.1
"418",1,3.29,2,3,11,3.29
"419",2,2.95,10,4,15,5.9
"420",3,3.75,12,1,12,11.25
"421",4,3.75,8,4,13,15
"422",6,6.25,5,2,15,37.5
"423",1,1.65,10,3,11,1.65
"424",2,0.65,12,4,12,1.3
"425",12,1.49,1,7,12,17.88
"426",2,5.79,6,4,16,11.58
"427",3,2.1,12,1,12,6.3
"428",24,0.42,11,7,12,10.08
"429",24,0.55,3,5,14,13.2
"430",12,1.45,10,3,15,17.4
"431",35,2.46,3,5,13,86.1
"432",1,7.95,12,7,12,7.95
"433",10,2.08,6,1,14,20.8
"434",12,1.25,10,2,12,15
"435",1,4.95,8,3,17,4.95
"436",3,4.25,7,2,14,12.75
"437",2,1.65,8,7,12,3.3
"438",24,0.42,8,2,8,10.08
"439",5,1.45,11,1,14,7.25
"440",12,1.25,6,2,9,15
"441",40,2.55,10,3,14,102
"442",4,4.15,12,3,15,16.6
"443",3,1.65,6,7,15,4.95
"444",1,2.46,1,2,10,2.46
"445",2,5.79,12,5,16,11.58
"446",1,4.13,1,5,14,4.13
"447",6,0.97,7,5,16,5.82
"448",1,3.36,12,3,17,3.36
"449",4,0.85,10,4,18,3.4
"450",1,5.95,12,7,15,5.95
"451",3,2.55,3,4,10,7.65
"452",1,7.95,11,3,12,7.95
"453",10,2.08,10,7,11,20.8
"454",1,2.55,3,7,16,2.55
"455",2,1.25,2,3,17,2.5
"456",2,7.62,12,5,14,15.24
"457",1,1.25,11,4,9,1.25
"458",5,1.95,11,1,8,9.75
"459",2,7.95,1,7,15,15.9
"460",36,0.19,11,3,12,6.84
"461",12,1.95,6,7,12,23.4
"462",48,0.85,5,4,17,40.8
"463",1,4.95,11,2,12,4.95
"464",1,4.13,1,4,18,4.13
"465",4,3.95,9,5,15,15.8
"466",1,5.79,2,5,10,5.79
"467",1,1.65,11,4,13,1.65
"468",2,4.95,11,4,14,9.9
"469",2,1.25,9,7,15,2.5
"470",2,2.55,11,2,11,5.1
"471",1,5.91,12,1,9,5.91
"472",2,2.95,7,3,11,5.9
"473",3,2.95,2,2,16,8.85
"474",1,2.95,8,7,15,2.95
"475",2,0.79,10,3,12,1.58
"476",1,4.15,11,3,17,4.15
"477",1,7.62,12,1,11,7.62
"478",1,2.95,5,7,14,2.95
"479",2,1.95,6,2,14,3.9
"480",1,2.46,11,3,15,2.46
"481",1,2.46,7,2,16,2.46
"482",3,4.95,12,4,14,14.85
"483",1,0.55,5,2,14,0.55
"484",4,7.95,7,4,19,31.8
"485",48,3.37,6,1,12,161.76
"486",1,2.46,9,2,14,2.46
"487",4,4.96,3,5,12,19.84
"488",1,2.46,6,2,17,2.46
"489",15,0.83,3,4,9,12.45
"490",2,2.92,4,3,17,5.84
"491",1,8.25,11,3,16,8.25
"492",1,0.39,12,2,12,0.39
"493",3,2.95,6,7,11,8.85
"494",2,1.45,10,4,13,2.9
"495",2,4.95,8,5,17,9.9
"496",10,2.08,9,1,12,20.8
"497",3,5.95,12,4,8,17.85
"498",1,16.63,12,1,17,16.63
"499",4,3.75,9,5,12,15
"500",8,0.83,1,5,14,6.64
"501",12,2.89,12,2,16,34.68
"502",3,2.46,1,1,17,7.38
"503",6,2.95,5,2,12,17.7
"504",1,3.81,1,3,9,3.81
"505",1,2.55,3,7,14,2.55
"506",8,1.95,4,1,14,15.6
"507",6,2.55,6,3,12,15.3
"508",6,2.95,7,4,10,17.7
"509",12,1.25,7,4,13,15
"510",48,0.29,7,3,13,13.92
"511",11,12.46,1,5,14,137.06
"512",3,0.85,5,4,13,2.55
"513",12,0.95,1,4,10,11.4
"514",18,1.65,7,7,12,29.7
"515",2,4.13,12,5,10,8.26
"516",24,0.19,12,3,12,4.56
"517",2,4.13,2,1,10,8.26
"518",2,0.85,1,2,13,1.7
"519",1,4.25,12,3,12,4.25
"520",3,4.95,7,1,10,14.85
"521",1,4.21,12,4,13,4.21
"522",12,0.55,10,3,12,6.6
"523",1,7.95,1,7,13,7.95
"524",3,1.45,5,3,11,4.35
"525",8,2.49,5,5,13,19.92
"526",2,4.95,12,2,12,9.9
"527",-12,0.85,12,4,15,-10.2
"528",8,0.85,6,4,13,6.8
"529",3,1.25,11,2,15,3.75
"530",3,12.75,1,7,15,38.25
"531",1,3.75,6,2,15,3.75
"532",32,2.1,7,2,12,67.2
"533",7,7.62,12,1,9,53.34
"534",-2,0.85,4,4,17,-1.7
"535",6,2.1,11,5,10,12.6
"536",24,0.79,11,3,8,18.96
"537",3,2.46,7,2,17,7.38
"538",5,0.83,8,2,10,4.15
"539",1,3.75,11,4,19,3.75
"540",5,1.25,11,3,13,6.25
"541",10,1.65,11,5,13,16.5
"542",3,4.95,3,2,12,14.85
"543",-9,2.55,12,1,10,-22.95
"544",100,1.79,5,4,13,179
"545",10,1.65,9,1,14,16.5
"546",10,1.65,1,2,15,16.5
"547",8,9.95,2,5,15,79.6
"548",10,1.65,8,1,11,16.5
"549",1,8.25,10,7,14,8.25
"550",1,3.75,7,2,15,3.75
"551",1,9.15,12,4,9,9.15
"552",24,1.65,6,4,16,39.6
"553",1,2.95,12,3,13,2.95
"554",4,12.75,5,3,15,51
"555",24,0.55,4,5,9,13.2
"556",48,0.19,12,4,16,9.12
"557",1,11.02,12,2,15,11.02
"558",1,1.25,9,7,12,1.25
"559",12,1.45,10,5,14,17.4
"560",30,2.08,10,5,11,62.4
"561",2,3.95,1,7,11,7.9
"562",2,2.25,11,7,12,4.5
"563",3,4.13,7,2,15,12.39
"564",1,4.21,12,2,15,4.21
"565",24,0.65,12,1,9,15.6
"566",3,2.95,9,7,13,8.85
"567",2,8.29,1,3,15,16.58
"568",20,2.08,6,4,11,41.6
"569",1,8.5,10,7,14,8.5
"570",12,2.95,5,3,11,35.4
"571",2,1.25,7,7,14,2.5
"572",5,7.46,12,1,17,37.3
"573",6,0.83,1,5,17,4.98
"574",1,3.29,10,1,17,3.29
"575",1,2.1,11,4,17,2.1
"576",1,9.95,12,7,14,9.95
"577",2,1.25,7,4,15,2.5
"578",1,1.63,11,5,17,1.63
"579",1,2.95,8,1,14,2.95
"580",1,2.08,12,2,14,2.08
"581",1,2.08,9,7,11,2.08
"582",3,2.55,12,5,13,7.65
"583",1,2.08,11,5,13,2.08
"584",1,2.08,3,1,10,2.08
"585",1,3.29,1,1,10,3.29
"586",2,2.95,11,2,17,5.9
"587",2,7.95,4,4,10,15.9
"588",2,2.95,3,2,15,5.9
"589",96,0.72,4,2,10,69.12
"590",1,1.25,9,3,13,1.25
"591",12,1.25,3,2,12,15
"592",3,2.46,7,3,16,7.38
"593",6,2.1,6,5,15,12.6
"594",10,1.65,9,5,9,16.5
"595",2,6.75,1,2,13,13.5
"596",1,2.46,1,1,17,2.46
"597",12,1.45,11,3,14,17.4
"598",1,0.79,11,2,15,0.79
"599",12,0.85,11,3,10,10.2
"600",4,1.65,5,7,11,6.6
"601",2,3.75,9,7,14,7.5
"602",12,2.1,10,1,9,25.2
"603",4,2.46,11,5,16,9.84
"604",12,1.65,11,1,15,19.8
"605",4,1.25,3,2,15,5
"606",10,6.75,7,3,13,67.5
"607",10,1.65,4,4,13,16.5
"608",1,6.95,6,7,13,6.95
"609",24,2.1,3,4,15,50.4
"610",1,2.95,12,7,15,2.95
"611",12,2.95,10,2,14,35.4
"612",10,6.75,4,4,13,67.5
"613",144,1.85,2,5,8,266.4
"614",12,4.95,4,7,14,59.4
"615",-1,12.75,8,2,11,-12.75
"616",2,4.13,9,3,12,8.26
"617",6,3.75,12,7,12,22.5
"618",2,1.25,5,1,16,2.5
"619",1,4.13,2,1,14,4.13
"620",-1,2.89,9,1,15,-2.89
"621",2,4.13,11,3,15,8.26
"622",6,3.75,2,2,8,22.5
"623",12,1.25,11,1,15,15
"624",1,9.95,1,3,12,9.95
"625",1,0.55,11,5,10,0.55
"626",1,9.15,11,5,15,9.15
"627",-2,0.79,8,3,9,-1.58
"628",12,1.45,7,3,14,17.4
"629",4,1.66,1,5,13,6.64
"630",24,1.25,1,4,16,30
"631",12,2.1,11,4,14,25.2
"632",4,0.39,7,1,11,1.56
"633",10,1.65,8,3,13,16.5
"634",1,2.46,7,2,17,2.46
"635",50,1.25,11,4,14,62.5
"636",24,1.25,2,2,15,30
"637",1,4.96,6,3,15,4.96
"638",1,4.13,9,3,14,4.13
"639",2,6.75,12,1,9,13.5
"640",12,1.65,1,2,13,19.8
"641",4,7.95,5,4,19,31.8
"642",4,12.75,1,1,15,51
"643",1,4.13,6,3,17,4.13
"644",12,0.42,6,4,20,5.04
"645",2,1.25,9,5,17,2.5
"646",32,0.42,9,7,15,13.44
"647",10,0.85,12,4,13,8.5
"648",2,1.63,7,3,16,3.26
"649",12,4.95,10,7,15,59.4
"650",6,1.06,10,7,16,6.36
"651",4,2.51,12,1,16,10.04
"652",2,2.95,7,7,11,5.9
"653",2,6.95,7,7,15,13.9
"654",3,1.65,10,1,13,4.95
"655",8,1.65,11,3,13,13.2
"656",4,18,5,2,9,72
"657",12,0.85,12,5,13,10.2
"658",1,4.96,11,4,9,4.96
"659",4,4.95,8,3,12,19.8
"660",4,14.95,9,4,13,59.8
"661",20,0.79,7,1,10,15.8
"662",3,1.25,11,7,12,3.75
"663",1,1.65,2,7,11,1.65
"664",1,0.83,10,4,16,0.83
"665",1,2.1,11,1,12,2.1
"666",12,1.25,7,1,12,15
"667",12,2.1,12,1,9,25.2
"668",24,4.25,10,5,9,102
"669",6,2.55,8,2,12,15.3
"670",6,12.75,5,3,13,76.5
"671",1,2.46,11,3,15,2.46
"672",2,4.13,2,3,11,8.26
"673",1,0.85,12,1,13,0.85
"674",12,1.25,8,2,10,15
"675",1,14.96,5,2,15,14.96
"676",1,5.95,1,1,14,5.95
"677",6,5.45,6,4,14,32.7
"678",1,4.13,10,1,14,4.13
"679",9,6.63,7,2,15,59.67
"680",5,2.1,9,2,13,10.5
"681",10,1.25,5,4,15,12.5
"682",8,1.65,5,5,14,13.2
"683",6,2.95,11,1,9,17.7
"684",24,1.25,1,7,10,30
"685",1,3.75,1,1,11,3.75
"686",10,1.65,5,4,18,16.5
"687",4,3.75,10,4,9,15
"688",1,1.65,12,2,13,1.65
"689",1,0.85,1,5,13,0.85
"690",1,2.89,9,7,14,2.89
"691",24,1.65,8,4,16,39.6
"692",1,0.95,10,2,12,0.95
"693",1,1.63,3,2,15,1.63
"694",1,1.25,1,3,16,1.25
"695",6,1.95,9,1,13,11.7
"696",6,1.85,7,7,13,11.1
"697",3,0.85,12,3,14,2.55
"698",12,1.69,11,4,13,20.28
"699",7,4.13,10,4,14,28.91
"700",60,1.25,3,2,14,75
"701",2,0.85,6,7,12,1.7
"702",1,3.29,8,4,16,3.29
"703",10,1.65,10,3,16,16.5
"704",1,2.1,8,5,11,2.1
"705",24,0.39,8,3,16,9.36
"706",1,2.1,3,7,11,2.1
"707",1,1.65,11,7,14,1.65
"708",1,3.95,2,4,19,3.95
"709",1,4.96,9,2,16,4.96
"710",6,4.13,10,2,10,24.78
"711",2,0.19,12,7,14,0.38
"712",2,1.25,9,7,15,2.5
"713",1,19.96,5,1,15,19.96
"714",1,1.25,10,1,11,1.25
"715",1,2.46,1,5,14,2.46
"716",2,1.65,5,2,14,3.3
"717",1,0.83,10,1,15,0.83
"718",3,7.46,10,5,17,22.38
"719",1,2.51,12,5,14,2.51
"720",1,4.95,4,1,14,4.95
"721",1,2.08,1,2,14,2.08
"722",1,4.13,6,3,17,4.13
"723",12,1.95,12,4,18,23.4
"724",1,4.25,7,1,16,4.25
"725",18,2.95,12,2,10,53.1
"726",2,8.5,3,7,14,17
"727",-2,16.95,12,5,11,-33.9
"728",20,4.25,7,2,15,85
"729",1,2.95,6,7,12,2.95
"730",1,7.46,1,1,17,7.46
"731",4,4.25,5,5,9,17
"732",3,4.95,5,2,10,14.85
"733",2,0.55,11,4,15,1.1
"734",-1,9.95,5,2,16,-9.95
"735",5,0.95,4,4,12,4.75
"736",12,4.15,11,2,15,49.8
"737",6,1.25,6,7,14,7.5
"738",1,2.08,5,7,14,2.08
"739",2,1.28,12,1,10,2.56
"740",3,3.36,12,3,17,10.08
