"","Quantity","UnitPrice","month","week","time","Sales"
"100",1,2.1,2,7,14,2.1
"101",24,0.85,8,3,12,20.4
"102",36,0.42,6,4,14,15.12
"103",2,0.42,11,2,13,0.84
"104",1,1.45,5,3,14,1.45
"105",4,0.83,12,5,10,3.32
"106",12,0.85,6,2,12,10.2
"107",1,1.63,12,1,17,1.63
"108",1,2.95,4,2,16,2.95
"109",12,2.1,1,4,12,25.2
"110",1,1.63,11,4,9,1.63
"111",12,2.08,9,7,15,24.96
"112",1,4.13,9,3,15,4.13
"113",25,0.42,8,3,8,10.5
"114",1,14.13,5,2,15,14.13
"115",2,6.35,5,4,17,12.7
"116",1,4.15,5,3,14,4.15
"117",12,1.65,11,5,13,19.8
"118",12,1.25,10,1,11,15
"119",1,9.32,12,1,11,9.32
"120",1,1.63,6,3,15,1.63
"121",3,4.13,10,4,14,12.39
"122",6,1.63,5,2,15,9.78
"123",2,12.75,5,5,15,25.5
"124",1,7.95,8,4,13,7.95
"125",1,0.83,7,1,10,0.83
"126",4,4.98,7,5,9,19.92
"127",3,4.21,1,3,9,12.63
"128",1,3.75,12,5,13,3.75
"129",6,5.79,11,4,9,34.74
"130",6,2.1,12,4,12,12.6
"131",3,5.79,11,5,16,17.37
"132",1,13.57,12,1,9,13.57
"133",1,5.95,8,7,14,5.95
"134",10,0.85,9,2,9,8.5
"135",2,0.85,11,2,17,1.7
"136",2,3.36,12,3,14,6.72
"137",1,4.95,7,2,14,4.95
"138",2,5.95,1,1,16,11.9
"139",12,0.42,9,7,14,5.04
"140",2,1.95,1,4,15,3.9
"141",6,1.25,4,2,12,7.5
"142",6,1.65,11,4,12,9.9
"143",24,0.79,4,5,9,18.96
"144",12,0.85,8,4,17,10.2
"145",12,1.25,3,4,17,15
"146",8,0.83,12,7,10,6.64
"147",24,0.85,2,2,13,20.4
"148",50,0.42,11,4,18,21
"149",1,2.25,6,7,11,2.25
"150",1,1.63,9,3,12,1.63
"151",24,0.65,11,1,14,15.6
"152",4,0.39,7,3,13,1.56
"153",1,2.95,6,1,14,2.95
"154",2,3.75,11,1,11,7.5
"155",6,1.69,1,5,13,10.14
"156",24,0.85,11,4,9,20.4
"157",2,3.29,2,3,12,6.58
"158",2,1.45,4,2,16,2.9
"159",1,1.25,6,3,13,1.25
"160",12,1.25,9,7,10,15
"161",1,2.95,3,2,12,2.95
"162",12,0.42,9,1,10,5.04
"163",1,2.55,10,4,13,2.55
"164",24,1.45,1,3,14,34.8
"165",6,5.95,8,2,14,35.7
"166",24,0.42,9,1,10,10.08
"167",1,3.75,7,2,17,3.75
"168",1,2.55,9,7,15,2.55
"169",12,2.08,4,5,16,24.96
"170",1,2.46,8,5,16,2.46
"171",6,2.95,10,4,10,17.7
"172",6,1.65,8,7,12,9.9
"173",1,0.42,2,5,10,0.42
"174",1,0.83,1,2,9,0.83
"175",1,0.83,11,3,15,0.83
"176",2,4.13,12,1,11,8.26
"177",12,0.83,10,5,10,9.96
"178",6,1.25,2,7,13,7.5
"179",2,6.95,6,3,13,13.9
"180",1,4.25,2,7,14,4.25
"181",5,2.1,3,1,12,10.5
"182",12,1.25,1,2,14,15
"183",1,4.13,11,4,9,4.13
"184",1,2.46,10,1,16,2.46
"185",24,1.49,12,5,13,35.76
"186",1,7.95,3,2,12,7.95
"187",2,1.45,7,2,17,2.9
"188",1,4.13,7,1,17,4.13
"189",12,1.65,7,2,9,19.8
"190",6,2.95,12,4,12,17.7
"191",1,7.46,11,2,16,7.46
"192",6,1.95,9,1,13,11.7
"193",1,1.25,5,2,15,1.25
"194",3,1.63,2,4,10,4.89
"195",3,1.25,8,1,14,3.75
"196",1,4.25,12,4,11,4.25
"197",4,3.75,10,5,10,15
"198",12,1.25,7,3,12,15
"199",1,4.13,7,2,16,4.13
"200",12,0.85,7,1,12,10.2
"201",-5,1.95,8,2,16,-9.75
"202",2,1.25,4,2,15,2.5
"203",4,1.63,8,2,12,6.52
"204",2,2.95,4,1,10,5.9
"205",3,4.95,2,1,12,14.85
"206",10,0.95,3,1,16,9.5
"207",1,3.29,8,5,16,3.29
"208",36,0.42,5,7,12,15.12
"209",2,2.46,3,1,17,4.92
"210",1,13.57,12,2,18,13.57
"211",36,0.19,9,1,12,6.84
"212",2,2.1,9,4,14,4.2
"213",7,1.63,11,1,15,11.41
"214",2,1.65,9,7,15,3.3
"215",25,0.42,2,4,13,10.5
"216",12,0.55,1,5,12,6.6
"217",2,1.25,11,7,13,2.5
"218",1,15.79,8,3,16,15.79
"219",2,0.83,11,2,18,1.66
"220",1,4.25,5,7,12,4.25
"221",1,8.25,11,5,13,8.25
"222",5,1.63,11,3,16,8.15
"223",3,2.95,4,1,14,8.85
"224",6,2.49,8,1,10,14.94
"225",3,0.85,9,4,16,2.55
"226",6,1.63,11,5,13,9.78
"227",3,1.63,9,3,12,4.89
"228",1,0.95,10,3,15,0.95
"229",10,2.08,10,4,9,20.8
"230",6,0.55,9,4,14,3.3
"231",3,1.65,4,2,10,4.95
"232",1,2.46,2,2,17,2.46
"233",24,0.42,5,2,12,10.08
"234",4,3.75,7,5,16,15
"235",4,2.95,7,2,12,11.8
"236",12,1.45,10,1,11,17.4
"237",3,0.65,4,3,17,1.95
"238",6,2.89,8,1,12,17.34
"239",1,5.79,9,5,9,5.79
"240",12,0.79,8,3,12,9.48
"241",1,1.45,11,3,12,1.45
"242",20,1.25,8,1,10,25
"243",24,0.83,8,7,12,19.92
"244",1,0.83,6,3,17,0.83
"245",12,2.95,7,1,15,35.4
"246",1,2.46,9,5,17,2.46
"247",2,8.5,6,7,16,17
"248",4,4.95,4,2,9,19.8
"249",10,1.65,10,5,11,16.5
"250",12,2.1,7,1,14,25.2
"251",6,4.95,11,4,11,29.7
"252",2,1.95,6,2,13,3.9
"253",1,4.13,1,3,16,4.13
"254",-1,1.25,2,3,14,-1.25
"255",2,7.95,2,4,17,15.9
"256",2,0.39,11,7,11,0.78
"257",8,1.95,4,3,14,15.6
"258",25,0.42,5,3,12,10.5
"259",24,0.39,11,1,17,9.36
"260",1,10.79,10,3,11,10.79
"261",1,0.83,2,1,12,0.83
"262",11,3.29,1,4,18,36.19
"263",6,2.95,7,5,10,17.7
"264",1,4.96,3,3,15,4.96
"265",12,1.25,11,3,14,15
"266",8,1.63,7,1,17,13.04
"267",6,4.95,3,3,15,29.7
"268",4,4.13,1,3,14,16.52
"269",2,4.95,2,3,15,9.9
"270",2,2.1,11,2,12,4.2
"271",12,1.25,5,2,9,15
"272",6,1.25,3,7,14,7.5
"273",1,9.13,11,7,13,9.13
"274",3,12.46,11,2,9,37.38
"275",1,2.1,4,2,13,2.1
"276",1,24.96,3,4,18,24.96
"277",2,9.96,10,3,14,19.92
"278",72,0.39,9,1,13,28.08
"279",12,2.08,4,3,13,24.96
"280",1,1.25,11,1,14,1.25
"281",2,1.25,3,4,18,2.5
"282",12,0.85,3,3,12,10.2
"283",3,1.65,6,2,11,4.95
"284",24,1.45,12,5,12,34.8
"285",1,0.85,12,1,13,0.85
"286",1,10.75,2,4,10,10.75
"287",1,1.95,8,4,15,1.95
"288",1,16.98,1,4,14,16.98
"289",12,1.25,8,1,15,15
"290",2,2.1,5,7,11,4.2
"291",1,1.25,11,4,14,1.25
"292",4,4.95,7,2,11,19.8
"293",6,1.63,11,4,9,9.78
"294",24,0.29,8,5,12,6.96
"295",12,0.85,11,2,14,10.2
"296",2,2.95,1,4,16,5.9
"297",1,4.13,7,2,13,4.13
"298",1,0.83,11,1,16,0.83
"299",2,1.25,9,4,16,2.5
"300",4,2.1,9,3,14,8.4
"301",1,2.55,7,5,13,2.55
"302",12,0.85,12,4,13,10.2
"303",1,0.83,2,4,11,0.83
"304",10,1.65,7,5,10,16.5
"305",11,3.36,12,3,14,36.96
"306",1,2.46,8,2,16,2.46
"307",1,0.39,11,3,14,0.39
"308",10,1.25,11,1,15,12.5
"309",16,0.83,12,1,13,13.28
"310",1,7.95,6,7,13,7.95
"311",12,0.42,2,3,13,5.04
"312",80,0.06,11,2,11,4.8
"313",1,2.95,11,1,12,2.95
"314",1,0.95,12,2,10,0.95
"315",6,2.08,12,5,10,12.48
"316",1,2.95,11,4,16,2.95
"317",1,5.79,1,2,15,5.79
"318",2,8.5,5,2,10,17
"319",12,1.65,9,4,13,19.8
"320",6,0.65,4,3,12,3.9
"321",2,1.25,7,2,16,2.5
"322",2,2.46,11,2,17,4.92
"323",1,7.95,4,5,11,7.95
"324",2,2.08,10,4,12,4.16
"325",24,0.55,9,3,12,13.2
"326",4,2.95,3,2,17,11.8
"327",4,4.25,9,7,14,17
"328",4,1.65,3,2,11,6.6
"329",3,0.55,3,3,11,1.65
"330",1,1.65,11,4,14,1.65
"331",1,7.95,8,3,13,7.95
"332",2,1.95,8,7,12,3.9
"333",24,0.39,9,2,12,9.36
"334",12,0.62,10,1,8,7.44
"335",-2,7.95,5,2,11,-15.9
"336",10,1.65,10,5,11,16.5
"337",24,1.25,5,7,10,30
"338",1,0.83,7,5,16,0.83
"339",1,5.79,6,5,13,5.79
"340",1,4.96,7,1,16,4.96
"341",2,2.95,6,7,12,5.9
"342",2,7.95,12,4,17,15.9
"343",2,1.25,11,5,10,2.5
"344",1,1.25,10,4,9,1.25
"345",12,1.25,10,5,14,15
"346",1,0.95,7,4,14,0.95
"347",4,4.15,10,2,12,16.6
"348",2,9.95,7,7,14,19.9
"349",2,8.25,4,4,17,16.5
"350",2,3.75,2,1,15,7.5
"351",18,1.65,4,3,13,29.7
"352",1,4.96,2,2,12,4.96
"353",96,0.21,11,3,14,20.16
"354",10,2.08,7,5,15,20.8
"355",2,3.29,7,2,16,6.58
"356",6,2.1,11,3,12,12.6
"357",2,2.89,7,7,15,5.78
"358",1,2.25,4,3,11,2.25
"359",1,16.63,3,5,12,16.63
"360",12,1.69,8,5,11,20.28
"361",1,0.85,2,2,11,0.85
"362",12,1.65,12,4,10,19.8
"363",2,7.95,7,1,13,15.9
"364",1,3.29,1,4,18,3.29
"365",6,0.85,12,2,16,5.1
"366",12,0.42,3,4,16,5.04
"367",1,2.46,6,3,17,2.46
"368",2,4.95,7,5,17,9.9
"369",2,1.25,11,4,17,2.5
"370",1,0.83,10,3,16,0.83
"371",12,2.08,11,5,16,24.96
"372",1,2.46,8,2,12,2.46
"373",12,1.25,9,7,14,15
"374",5,2.08,8,4,10,10.4
"375",24,0.85,10,5,9,20.4
"376",1,8.29,1,4,18,8.29
"377",1,8.95,7,2,12,8.95
"378",2,7.95,4,4,13,15.9
"379",12,0.85,6,1,11,10.2
"380",6,2.55,12,4,18,15.3
"381",1,8.5,9,4,12,8.5
"382",12,1.45,5,2,15,17.4
"383",6,1.95,3,4,15,11.7
"384",4,1.25,5,7,14,5
"385",1,8.5,2,7,14,8.5
"386",1,1.69,11,7,14,1.69
"387",1,4.13,7,5,9,4.13
"388",2,0.39,11,3,11,0.78
"389",12,0.39,12,5,11,4.68
"390",3,0.55,9,2,11,1.65
"391",12,1.65,11,2,10,19.8
"392",24,1.25,8,2,8,30
"393",-10,1.65,6,3,9,-16.5
"394",12,1.25,9,3,11,15
"395",6,2.95,11,2,10,17.7
"396",4,2.46,2,2,14,9.84
"397",8,0.85,1,7,10,6.8
"398",1,4.65,2,7,12,4.65
"399",1,2.13,12,2,18,2.13
"400",2,8.25,11,3,11,16.5
"401",12,0.85,5,4,12,10.2
"402",2,2.46,11,2,16,4.92
"403",7,3.29,12,5,10,23.03
"404",5,1.25,8,2,12,6.25
"405",10,2.08,12,2,13,20.8
"406",10,0.42,11,7,12,4.2
"407",1,0.75,8,2,16,0.75
"408",12,0.85,7,3,15,10.2
"409",1,2.08,9,5,13,2.08
"410",1,20.79,2,5,12,20.79
"411",3,2.08,11,4,12,6.24
"412",4,0.29,9,7,15,1.16
"413",10,1.95,3,1,11,19.5
"414",3,1.25,12,4,13,3.75
"415",12,1.25,4,1,8,15
"416",2,1.63,1,4,14,3.26
"417",2,4.95,8,4,16,9.9
"418",3,0.29,11,7,14,0.87
"419",12,0.85,5,2,10,10.2
"420",1,9.95,11,4,15,9.95
"421",1,0.21,9,7,12,0.21
"422",1,4.21,12,5,14,4.21
"423",2,8.5,10,1,14,17
"424",4,0.42,11,2,9,1.68
"425",2,1.25,2,7,13,2.5
"426",2,5.95,12,4,16,11.9
"427",1,11.87,1,5,13,11.87
"428",3,0.85,1,3,11,2.55
"429",2,4.13,10,1,15,8.26
"430",2,1.65,12,7,13,3.3
"431",18,1.25,10,4,14,22.5
"432",2,0.83,5,4,15,1.66
"433",4,3.75,12,2,14,15
"434",12,1.65,4,2,8,19.8
"435",2,1.45,5,1,15,2.9
"436",7,0.63,11,4,9,4.41
"437",2,0.55,3,1,15,1.1
"438",2,0.85,12,7,11,1.7
"439",1,1.63,8,4,16,1.63
"440",1,2.95,5,4,13,2.95
"441",12,2.1,3,4,8,25.2
"442",1,2.08,11,3,15,2.08
"443",1,1.69,4,1,12,1.69
"444",12,1.25,4,7,11,15
"445",1,1.25,11,5,12,1.25
"446",12,0.85,3,4,10,10.2
"447",25,0.42,9,4,15,10.5
"448",12,1.25,4,2,13,15
"449",8,2.25,3,4,16,18
"450",2,6.75,8,5,15,13.5
"451",4,4.25,12,5,12,17
"452",12,1.65,5,3,15,19.8
"453",2,2.55,11,1,12,5.1
"454",36,0.83,10,3,16,29.88
"455",1,3.75,7,5,12,3.75
"456",24,0.55,8,2,14,13.2
"457",1,1.25,12,7,12,1.25
"458",12,1.25,5,7,12,15
"459",2,6.35,5,2,13,12.7
"460",10,1.95,2,4,10,19.5
"461",1,4.13,8,3,15,4.13
"462",12,0.42,10,5,10,5.04
"463",1,1.25,9,3,13,1.25
"464",1,2.46,2,5,16,2.46
"465",144,0.19,12,1,13,27.36
"466",12,1.65,12,5,10,19.8
"467",1,4.95,9,7,15,4.95
"468",1,1.65,3,3,17,1.65
"469",2,8.25,9,3,14,16.5
"470",10,1.65,3,4,16,16.5
"471",24,0.42,6,4,12,10.08
"472",1,10.79,12,1,11,10.79
"473",1,1.66,1,1,9,1.66
"474",10,1.65,5,4,16,16.5
"475",12,1.65,2,1,11,19.8
"476",2,9.95,11,1,14,19.9
"477",-1,12.75,7,4,17,-12.75
"478",1,19.96,6,4,17,19.96
"479",10,1.65,9,3,13,16.5
"480",3,5.95,8,1,11,17.85
"481",4,3.75,9,3,12,15
"482",1,2.95,5,5,13,2.95
"483",2,4.25,1,4,12,8.5
"484",36,0.39,4,2,10,14.04
"485",1,16.98,12,3,14,16.98
"486",1,1.25,7,5,12,1.25
"487",24,1.25,8,2,11,30
"488",1,0.39,10,3,15,0.39
"489",4,5.79,11,3,14,23.16
"490",4,4.95,11,2,16,19.8
"491",2,2.08,6,3,13,4.16
"492",-6,2.08,12,2,14,-12.48
"493",4,2.55,8,4,14,10.2
"494",2,4.95,11,7,14,9.9
"495",1,16.63,11,4,15,16.63
"496",8,1.95,9,4,15,15.6
"497",6,3.75,11,5,15,22.5
"498",1,3.75,9,2,13,3.75
"499",12,1.65,12,4,14,19.8
"500",24,1.25,4,7,12,30
"501",6,1.65,12,4,10,9.9
"502",24,1.25,4,5,16,30
"503",6,0.55,6,7,11,3.3
"504",6,1.65,8,7,15,9.9
"505",2,2.46,6,2,17,4.92
"506",2,2.46,10,2,14,4.92
"507",2,2.92,2,2,17,5.84
"508",4,2.08,12,3,14,8.32
"509",2,3.36,12,1,9,6.72
"510",4,5.95,12,3,12,23.8
"511",2,1.65,2,4,19,3.3
"512",12,1.45,9,4,15,17.4
"513",1,4.13,4,4,16,4.13
"514",8,1.69,11,2,9,13.52
"515",5,3.36,12,2,15,16.8
"516",4,4.95,9,5,8,19.8
"517",1,1.45,2,7,11,1.45
"518",4,4.25,10,5,10,17
"519",2,0.39,11,5,12,0.78
"520",1,0.42,11,2,11,0.42
"521",10,2.95,4,3,15,29.5
"522",36,0.39,11,3,15,14.04
"523",2,9.95,11,2,13,19.9
"524",10,0.85,5,7,12,8.5
"525",1,4.95,6,4,17,4.95
"526",24,0.42,12,4,10,10.08
"527",1,4.95,2,7,14,4.95
"528",4,6.25,10,5,10,25
"529",1,2.1,11,7,12,2.1
"530",3,1.65,2,1,15,4.95
"531",6,1.25,11,3,13,7.5
"532",6,2.89,9,3,11,17.34
"533",1,2.55,10,2,16,2.55
"534",24,0.42,8,4,18,10.08
"535",1,1.25,12,2,17,1.25
"536",4,4.13,10,3,14,16.52
"537",4,4.95,10,1,12,19.8
"538",2,1.65,12,4,10,3.3
"539",1,4.25,4,1,10,4.25
"540",2,8.5,3,1,11,17
"541",4,1.65,11,4,16,6.6
"542",12,1.65,2,3,16,19.8
"543",1,4.96,6,3,15,4.96
"544",1,3.29,6,3,15,3.29
"545",13,0.42,6,3,15,5.46
"546",12,1.25,5,7,11,15
"547",2,2.95,3,5,11,5.9
"548",1,1.65,11,2,14,1.65
"549",1,2.95,6,7,11,2.95
"550",2,4.13,8,2,10,8.26
"551",1,4.65,11,2,12,4.65
"552",1,4.96,7,2,13,4.96
"553",2,8.5,12,2,14,17
"554",12,2.1,1,1,9,25.2
"555",6,2.1,8,2,11,12.6
"556",2,0.83,10,7,15,1.66
"557",1,0.42,11,7,14,0.42
"558",1,2.46,12,1,17,2.46
"559",2,3.29,1,1,17,6.58
"560",8,0.83,11,7,12,6.64
"561",3,4.95,5,2,8,14.85
"562",1,2.46,7,2,17,2.46
"563",4,8.15,11,2,17,32.6
"564",12,1.45,12,1,10,17.4
"565",6,4.15,6,2,12,24.9
"566",25,0.42,1,1,14,10.5
"567",2,4.95,11,7,10,9.9
"568",12,1.45,6,4,10,17.4
"569",6,5.95,5,4,17,35.7
"570",6,2.95,5,1,9,17.7
"571",1,2.46,9,4,16,2.46
"572",1,1.95,9,7,13,1.95
"573",10,1.65,7,4,14,16.5
"574",1,2.1,11,3,13,2.1
"575",2,1.65,11,2,11,3.3
"576",24,0.85,9,5,12,20.4
"577",1,10.79,11,2,11,10.79
"578",1,4.25,11,3,15,4.25
"579",4,0.29,1,1,15,1.16
"580",48,0.39,5,4,16,18.72
"581",1,7.46,2,3,15,7.46
"582",3,5.95,8,3,11,17.85
"583",3,4.95,9,2,13,14.85
"584",4,4.15,7,1,15,16.6
"585",48,0.29,4,2,11,13.92
"586",4,4.25,7,3,14,17
"587",1,5.79,12,4,16,5.79
"588",12,0.85,11,5,12,10.2
"589",1,1.45,7,4,12,1.45
"590",12,1.65,8,4,10,19.8
"591",3,0.83,6,4,15,2.49
"592",1,3.29,12,5,10,3.29
"593",6,4.95,5,1,14,29.7
"594",80,0.06,7,1,10,4.8
"595",48,0.42,10,3,10,20.16
"596",2,0.79,2,1,16,1.58
"597",1,0.79,7,7,13,0.79
"598",20,1.65,11,3,11,33
"599",12,0.42,5,2,14,5.04
"600",1,4.13,6,5,17,4.13
"601",1,0.83,10,4,14,0.83
"602",1,1.45,11,7,12,1.45
"603",12,0.85,1,3,14,10.2
"604",4,1.25,12,4,18,5
"605",12,1.66,1,2,13,19.92
"606",9,0.42,4,7,12,3.78
"607",3,4.96,6,1,9,14.88
"608",1,19.13,8,2,12,19.13
"609",10,1.65,10,2,9,16.5
"610",2,1.25,5,7,14,2.5
"611",12,0.83,6,4,11,9.96
"612",5,1.25,12,3,13,6.25
"613",1,8.29,11,1,15,8.29
"614",1,1.65,5,5,13,1.65
"615",6,2.95,3,4,17,17.7
"616",2,2.1,8,5,17,4.2
"617",1,1.63,9,4,16,1.63
"618",6,2.1,6,1,12,12.6
"619",12,1.95,8,1,15,23.4
"620",6,0.85,11,1,15,5.1
"621",12,1.25,3,3,9,15
"622",1,1.63,4,2,17,1.63
"623",3,4.13,7,2,17,12.39
"624",4,4.25,9,4,12,17
"625",2,0.55,12,1,15,1.1
"626",2,1.45,9,7,16,2.9
"627",2,1.25,10,1,13,2.5
"628",1,1.63,2,4,10,1.63
"629",1,2.89,11,3,12,2.89
"630",3,1.65,11,4,11,4.95
"631",20,1.25,10,5,14,25
"632",1,6.75,4,4,15,6.75
"633",2,3.75,7,7,12,7.5
"634",-1,12.75,3,7,10,-12.75
"635",24,1.45,8,1,15,34.8
"636",24,0.42,10,4,9,10.08
"637",1,7.62,12,5,9,7.62
"638",1,4.95,7,2,10,4.95
"639",4,0.83,7,5,9,3.32
"640",12,0.85,6,1,14,10.2
"641",12,0.85,5,4,9,10.2
"642",2,1.45,10,2,16,2.9
"643",1,1.25,7,1,16,1.25
"644",12,1.65,7,1,10,19.8
"645",1,1.65,3,7,12,1.65
"646",1,4.96,7,3,16,4.96
"647",1,4.95,8,7,12,4.95
"648",24,0.65,11,5,11,15.6
"649",10,2.08,8,2,12,20.8
"650",2,8.5,6,3,14,17
"651",1,1.25,3,4,18,1.25
"652",6,2.95,5,4,12,17.7
"653",12,0.85,5,2,11,10.2
"654",-1,8.95,10,2,16,-8.95
"655",3,0.85,4,4,18,2.55
"656",1,4.95,11,2,14,4.95
"657",2,1.63,1,4,18,3.26
"658",2,4.95,8,4,15,9.9
"659",1,3.75,10,1,14,3.75
"660",1,4.13,11,2,15,4.13
"661",12,0.85,4,2,9,10.2
"662",9,1.45,3,4,12,13.05
"663",1,2.89,11,7,14,2.89
"664",1,1.25,11,2,10,1.25
"665",1,2.46,12,4,9,2.46
"666",1,3.75,12,1,12,3.75
"667",1,0.83,8,4,11,0.83
"668",1,1.25,5,5,15,1.25
"669",25,0.42,5,1,12,10.5
"670",3,1.25,8,7,15,3.75
"671",2,4.96,11,4,15,9.92
"672",1,1.28,12,5,14,1.28
"673",8,4.13,12,1,17,33.04
"674",1,2.1,12,4,12,2.1
"675",2,3.29,10,2,10,6.58
"676",1,4.13,10,1,16,4.13
"677",24,0.42,2,3,16,10.08
"678",1,0.83,7,1,15,0.83
"679",2,5.79,11,5,14,11.58
"680",2,8.47,12,2,15,16.94
"681",2,2.1,3,3,13,4.2
"682",12,0.85,12,3,15,10.2
"683",2,8.15,12,4,12,16.3
"684",4,5.95,1,3,13,23.8
"685",3,5.75,11,5,14,17.25
"686",20,0.82,11,1,10,16.4
"687",1,3.36,12,5,11,3.36
"688",1,1.45,5,7,16,1.45
"689",1,2.1,4,5,11,2.1
"690",12,0.42,7,4,15,5.04
"691",1,1.65,11,1,14,1.65
"692",2,1.65,5,2,14,3.3
"693",4,1.95,4,7,12,7.8
"694",8,0.65,7,3,13,5.2
"695",2,12.46,5,2,14,24.92
"696",1,1.63,10,1,17,1.63
"697",1,4.13,3,1,17,4.13
"698",36,0.42,12,4,18,15.12
"699",1,4.13,7,3,15,4.13
"700",4,7.46,11,1,15,29.84
"701",2,2.46,7,3,16,4.92
"702",12,2.95,4,3,11,35.4
"703",5,1.65,11,5,13,8.25
"704",1,8.5,8,7,16,8.5
"705",3,1.45,11,2,16,4.35
"706",1,1.63,5,1,16,1.63
"707",2,3.75,1,4,10,7.5
"708",2,3.29,10,1,17,6.58
"709",1,4.13,4,1,13,4.13
"710",12,1.45,10,5,10,17.4
"711",3,4.95,5,3,10,14.85
"712",2,3.75,8,2,12,7.5
"713",2,9.95,8,1,17,19.9
"714",10,1.95,11,4,9,19.5
"715",1,3.29,4,2,11,3.29
"716",1,3.29,9,3,16,3.29
"717",2,1.63,2,1,14,3.26
"718",2,3.75,12,1,11,7.5
"719",12,0.42,8,5,14,5.04
"720",1,0.83,7,2,16,0.83
"721",1,2.55,12,5,14,2.55
"722",7,2.55,2,7,16,17.85
"723",2,1.25,11,7,14,2.5
"724",5,0.65,1,3,16,3.25
"725",12,2.55,5,2,12,30.6
"726",1,0.55,6,3,11,0.55
"727",1,7.46,11,1,15,7.46
"728",1,3.29,1,4,11,3.29
"729",12,0.42,1,2,12,5.04
"730",25,0.42,6,2,9,10.5
"731",3,2.08,11,7,12,6.24
"732",1,4.95,9,3,16,4.95
"733",1,3.36,12,2,13,3.36
"734",1,5.79,8,2,16,5.79
"735",8,0.95,7,5,17,7.6
"736",4,4.95,7,7,12,19.8
"737",2,2.1,2,2,16,4.2
"738",6,5,2,3,17,30
"739",1,2.95,8,7,16,2.95
